t,x,y,z,yaw1,yaw2,label
1714224618353820130,3.47463,0.327695,-0.518318,0.311265,-0.11383,Three
1714224618360658249,3.50499,0.324599,-0.522099,0.29599,-0.100651,Three
1714224618367792678,3.49247,0.31727,-0.519413,0.3443,-0.14961,Three
1714224618375641829,3.47522,0.309021,-0.516454,0.393551,-0.204696,Three
1714224618382778878,3.46999,0.302753,-0.515678,0.415089,-0.226099,Three
1714224618389897770,3.50075,0.299912,-0.520216,0.414705,-0.227854,Three
1714224618397755634,3.52563,0.295116,-0.523801,0.431687,-0.244453,Three
1714224618404697063,3.54173,0.290823,-0.525738,0.439861,-0.258665,Three
1714224618411803435,3.50156,0.281776,-0.519109,0.493216,-0.313686,Three
1714224618419730168,3.46836,0.273013,-0.513399,0.538235,-0.361799,Three
1714224618426904629,3.51435,0.271123,-0.520335,0.532762,-0.358567,Three
1714224618433929678,3.58298,0.270957,-0.530445,0.520898,-0.349639,Three
1714224618441770705,3.51946,0.260267,-0.519489,0.584778,-0.411993,Three
1714224618448903855,3.53439,0.254366,-0.520894,0.554487,-0.402988,Three
1714224618456051338,3.44915,0.245286,-0.50719,-0.494815,0.654334,Three
1714224618463823311,3.5771,0.248031,-0.527617,0.633905,-0.472161,Three
1714224618470665803,3.58477,0.243587,-0.528881,0.656453,-0.492652,Three
1714224618477774154,3.54801,0.236166,-0.522227,0.694565,-0.533763,Three
1714224618485729619,3.58563,0.233199,-0.527985,0.706903,-0.545954,Three
1714224618492562229,3.54933,0.226023,-0.521287,0.745788,-0.587495,Three
1714224618499638525,3.55849,0.221823,-0.522356,0.764515,-0.60538,Three
1714224618506422174,3.62789,0.221632,-0.532722,0.762314,-0.607841,Three
1714224618513082993,3.72347,0.578435,-0.545579,-0.689188,0.968462,Three
1714224618520097676,3.78493,0.585296,-0.555638,-0.651657,0.936753,Three
1714224618527237207,3.76933,0.579493,-0.554061,-0.633521,0.91264,Three
1714224618534465480,3.7182,0.568599,-0.546697,-0.61687,0.896488,Three
1714224618541606514,3.73787,0.568267,-0.549974,-0.592239,0.871623,Three
1714224618548925293,3.66752,0.553643,-0.539329,-0.585292,0.863606,Three
1714224618555225722,3.68172,0.553082,-0.541608,-0.558498,0.837617,Three
1714224618562779409,3.62706,0.54117,-0.53366,-0.548265,0.822173,Three
1714224618569787953,3.59222,0.53266,-0.52846,-0.543225,0.816866,Three
1714224618576671048,3.57153,0.52607,-0.525377,-0.525607,0.796302,Three
1714224618583540499,3.58798,0.525105,-0.528127,-0.498613,0.771854,Three
1714224618590606655,3.5842,0.521034,-0.52758,-0.47589,0.74678,Three
1714224618597825003,3.59472,0.518758,-0.529169,-0.444272,0.71695,Three
1714224618604940251,3.58211,0.513223,-0.528024,-0.422814,0.690018,Three
1714224618612031327,3.62814,0.516107,-0.535729,-0.379594,0.647476,Three
1714224618618983038,3.57825,0.50519,-0.528321,-0.378684,0.641434,Three
1714224618626090202,3.58714,0.502556,-0.529702,-0.353338,0.619301,Three
1714224618633113384,3.58391,0.497653,-0.529228,-0.333836,0.59519,Three
1714224618640224612,3.60727,0.496847,-0.533058,-0.291831,0.55558,Three
1714224618647396233,3.61757,0.494124,-0.534828,-0.265105,0.529143,Three
1714224618654554346,3.56749,0.483389,-0.527432,-0.271452,0.532853,Three
1714224618661813045,3.57011,0.479496,-0.527944,-0.224238,0.487763,Three
1714224618669057448,3.5001,0.465653,-0.517387,-0.256399,0.509428,Three
1714224618676102481,3.558,0.469221,-0.526306,-0.215766,0.469336,Three
1714224618684011180,3.61606,0.471636,-0.535837,-0.107221,0.362869,Three
1714224618691163514,3.59152,0.463755,-0.532003,-0.0848058,0.333421,Three
1714224618698167348,3.55509,0.454426,-0.525963,-0.1314,0.378512,Three
1714224618705703993,3.56696,0.45087,-0.527876,-0.0947185,0.343783,Three
1714224618712708316,3.55559,0.444009,-0.526081,-0.0528643,0.297342,Three
1714224618718935117,3.52232,0.435727,-0.52128,-0.0765542,0.322796,Three
1714224618724888808,3.46526,0.424577,-0.511948,-0.125869,0.364697,Three
1714224618730934690,3.46932,0.42058,-0.51273,-0.122208,0.359955,Three
1714224618737007200,3.54056,0.424818,-0.524107,0.0422775,0.195132,Three
1714224618744105547,3.5226,0.416902,-0.520991,0.0445255,0.192064,Three
1714224618751059396,3.54922,0.414288,-0.525607,0.0842555,0.148816,Three
1714224618758204613,3.52354,0.405561,-0.521625,0.0484147,0.178109,Three
1714224618764153618,3.52048,0.400674,-0.521291,0.0349986,0.188208,Three
1714224618769911005,3.51681,0.394992,-0.520412,0.0220138,0.201183,Three
1714224618776117859,3.51989,0.390051,-0.520936,0.0316143,0.189221,Three
1714224618783137331,3.50474,0.382369,-0.517907,-0.0152842,0.237901,Three
1714224618790022368,3.51337,0.37721,-0.518592,0.00790966,0.209649,Three
1714224618796971381,3.50382,0.369706,-0.517013,0.0443825,0.170533,Three
1714224618804745984,3.5034,0.362739,-0.516668,0.171696,0.037231,Three
1714224618811688005,3.51114,0.356879,-0.51795,0.233075,-0.0269577,Three
1714224618818723539,3.4689,0.346402,-0.510984,-0.13881,0.343711,Three
1714224618826737001,3.53143,0.345537,-0.519601,0.129804,0.0677101,Three
1714224618834165177,3.53791,0.337843,-0.520472,0.255887,-0.0580453,Three
1714224618840696331,3.52168,0.330209,-0.51802,0.287079,-0.0897948,Three
1714224618848787752,3.54411,0.325279,-0.521717,-0.0687989,0.256672,Three
1714224618855420234,3.50348,0.315088,-0.515159,-0.159264,0.345049,Three
1714224618862731050,3.55689,0.312852,-0.522645,0.290222,-0.110986,Three
1714224618869555492,3.59454,0.309234,-0.52902,0.230229,-0.0538038,Three
1714224618876375268,3.50546,0.295017,-0.514506,0.403496,-0.228128,Three
1714224618883664452,3.45817,0.284263,-0.506928,0.454977,-0.282548,Three
1714224618890814663,3.52565,0.282952,-0.516815,0.429733,-0.256745,Three
1714224618897692707,3.58319,0.280908,-0.525578,0.404877,-0.238875,Three
1714224618905124662,3.52774,0.26971,-0.51605,0.463279,-0.297237,Three
1714224618912339662,3.52333,0.262282,-0.515422,0.493846,-0.329507,Three
1714224618919726734,3.61797,0.262347,-0.52958,0.4489,-0.291562,Three
1714224618926953753,3.52977,0.248876,-0.515258,0.532517,-0.377428,Three
1714224618933932180,3.48185,0.239196,-0.507496,0.578645,-0.422888,Three
1714224618940976460,3.53402,0.236157,-0.514527,0.579281,-0.42898,Three
1714224618947833859,3.61037,0.234734,-0.525705,0.555683,-0.411107,Three
1714224618954858362,3.60417,0.227461,-0.524792,0.588232,-0.444124,Three
1714224618961879654,3.61655,0.221455,-0.526227,0.605736,-0.464767,Three
1714224618968797739,3.57488,0.212462,-0.518829,0.649683,-0.514253,Three
1714224618976248019,3.5678,0.20467,-0.517812,0.676492,-0.543529,Three
1714224618983693328,3.57376,0.197979,-0.518313,0.697886,-0.566097,Three
1714224618990547613,3.65683,0.196136,-0.53052,0.686501,-0.555731,Three
1714224618997504444,3.70178,0.191589,-0.537034,0.693177,-0.56826,Three
1714224619004541451,3.61412,0.180334,-0.522903,0.748227,-0.623301,Three
1714224619011577443,3.61223,0.173572,-0.522141,0.77469,-0.654909,Three
1714224619018346345,3.70219,0.171847,-0.535217,0.769785,-0.651365,Three
1714224619025153283,3.67042,0.51676,-0.53351,-0.676866,0.926841,Three
1714224619031899308,3.72058,0.516146,-0.541909,-0.640391,0.890068,Three
1714224619038923305,3.72713,0.508913,-0.543116,-0.611671,0.859846,Three
1714224619046709942,3.62963,0.48685,-0.528128,-0.614969,0.853804,Three
1714224619054221048,3.6278,0.47782,-0.527941,-0.591426,0.829332,Three
1714224619061632314,3.57863,0.46278,-0.520985,-0.5853,0.81628,Three
1714224619067406985,3.58254,0.456621,-0.521797,-0.561789,0.793021,Three
